ts,run_id,status,gate,strategy,symbol,interval,total_candles,in_sample_trades,in_sample_avg_net_pct,in_sample_max_drawdown_pct,walk_forward_trades,walk_forward_avg_net_pct,walk_forward_max_drawdown_pct,champion_claim_allowed,live_orders,api_keys,claim_level
2026-06-25T09:39:15+00:00,BT20260625T093915Z,BACKTEST_WALK_FORWARD_RECORDED,WALK_FORWARD_RECORDED_EDGE_NOT_PROVEN,Bali MA Momentum Probe V015A,BTCUSDT,1m,25,1,-0.3606,0.3606,2,-0.3044,0.6079,False,OFF,NONE,BACKTEST_GATE_ONLY_NOT_PROFIT_PROOF
2026-06-25T09:39:32+00:00,BT20260625T093932Z,BACKTEST_WALK_FORWARD_RECORDED,WALK_FORWARD_RECORDED_EDGE_NOT_PROVEN,Bali MA Momentum Probe V015A,BTCUSDT,1m,26,1,-0.3606,0.3606,2,-0.3392,0.6773,False,OFF,NONE,BACKTEST_GATE_ONLY_NOT_PROFIT_PROOF
2026-06-25T09:40:31+00:00,BT20260625T094030Z,BACKTEST_WALK_FORWARD_RECORDED,WALK_FORWARD_RECORDED_EDGE_NOT_PROVEN,Bali MA Momentum Probe V015A,BTCUSDT,1m,26,1,-0.3606,0.3606,2,-0.3392,0.6773,False,OFF,NONE,BACKTEST_GATE_ONLY_NOT_PROFIT_PROOF
2026-06-25T09:40:50+00:00,BT20260625T094050Z,BACKTEST_WALK_FORWARD_RECORDED,WALK_FORWARD_RECORDED_EDGE_NOT_PROVEN,Bali MA Momentum Probe V015A,BTCUSDT,1m,27,1,-0.3606,0.3606,2,-0.3392,0.6773,False,OFF,NONE,BACKTEST_GATE_ONLY_NOT_PROFIT_PROOF
2026-06-25T09:42:09+00:00,BT20260625T094208Z,BACKTEST_WALK_FORWARD_RECORDED,WALK_FORWARD_RECORDED_EDGE_NOT_PROVEN,Bali MA Momentum Probe V015A,BTCUSDT,1m,28,2,-0.3363,0.6716,2,-0.3567,0.7121,False,OFF,NONE,BACKTEST_GATE_ONLY_NOT_PROFIT_PROOF
2026-06-25T09:43:29+00:00,BT20260625T094329Z,BACKTEST_WALK_FORWARD_RECORDED,WALK_FORWARD_RECORDED_EDGE_NOT_PROVEN,Bali MA Momentum Probe V015A,BTCUSDT,1m,30,2,-0.3189,0.6368,1,-0.344,0.344,False,OFF,NONE,BACKTEST_GATE_ONLY_NOT_PROFIT_PROOF
2026-06-25T09:52:54+00:00,BT20260625T095254Z,BACKTEST_WALK_FORWARD_RECORDED,WALK_FORWARD_RECORDED_EDGE_NOT_PROVEN,Bali MA Momentum Probe V015A,BTCUSDT,1m,35,3,-0.3231,0.9663,2,-0.3756,0.7499,False,OFF,NONE,BACKTEST_GATE_ONLY_NOT_PROFIT_PROOF
2026-06-25T09:53:12+00:00,BT20260625T095312Z,BACKTEST_WALK_FORWARD_RECORDED,WALK_FORWARD_RECORDED_EDGE_NOT_PROVEN,Bali MA Momentum Probe V015A,BTCUSDT,1m,35,3,-0.3231,0.9663,2,-0.3756,0.7499,False,OFF,NONE,BACKTEST_GATE_ONLY_NOT_PROFIT_PROOF
2026-06-25T09:54:15+00:00,BT20260625T095415Z,BACKTEST_WALK_FORWARD_RECORDED,WALK_FORWARD_RECORDED_EDGE_NOT_PROVEN,Bali MA Momentum Probe V015A,BTCUSDT,1m,36,3,-0.3231,0.9663,2,-0.3756,0.7499,False,OFF,NONE,BACKTEST_GATE_ONLY_NOT_PROFIT_PROOF
2026-06-25T09:54:31+00:00,BT20260625T095431Z,BACKTEST_WALK_FORWARD_RECORDED,WALK_FORWARD_RECORDED_EDGE_NOT_PROVEN,Bali MA Momentum Probe V015A,BTCUSDT,1m,37,3,-0.3231,0.9663,2,-0.3756,0.7499,False,OFF,NONE,BACKTEST_GATE_ONLY_NOT_PROFIT_PROOF
