ts,symbol,interval,open_time_utc,open,high,low,close,volume,close_time_utc,quote_volume,trades,source,feed_status,real_live_verified,claim_level
2026-06-25T09:18:02+00:00,BTCUSDT,15m,2026-06-25T08:15:00+00:00,61799.5,61799.51,61710.5,61779.61,65.54223,2026-06-25T08:29:59+00:00,4047257.8675402,19164,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:02+00:00,BTCUSDT,15m,2026-06-25T08:30:00+00:00,61779.61,61779.61,61714.0,61757.19,84.47196,2026-06-25T08:44:59+00:00,5215381.7029249,15578,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:02+00:00,BTCUSDT,15m,2026-06-25T08:45:00+00:00,61757.18,61804.45,61684.87,61712.35,96.05728,2026-06-25T08:59:59+00:00,5932098.7012653,17224,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:02+00:00,BTCUSDT,15m,2026-06-25T09:00:00+00:00,61712.36,61792.0,61680.92,61740.82,85.13651,2026-06-25T09:14:59+00:00,5256383.668171,22461,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:02+00:00,BTCUSDT,15m,2026-06-25T09:15:00+00:00,61740.82,61766.34,61734.07,61759.47,12.11524,2026-06-25T09:29:59+00:00,748152.9674419,4468,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:30:04+00:00,BTCUSDT,15m,2026-06-25T09:30:00+00:00,61696.0,61696.01,61696.0,61696.01,0.03191,2026-06-25T09:44:59+00:00,1968.7194828,12,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:52:34+00:00,BTCUSDT,15m,2026-06-25T09:45:00+00:00,61753.01,61780.46,61750.0,61750.01,31.25205,2026-06-25T09:59:59+00:00,1930241.3264601,9373,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T10:00:24+00:00,BTCUSDT,15m,2026-06-25T10:00:00+00:00,61739.29,61743.42,61734.1,61743.42,0.91116,2026-06-25T10:14:59+00:00,56254.1407547,518,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T10:17:20+00:00,BTCUSDT,15m,2026-06-25T10:15:00+00:00,61688.01,61751.07,61688.0,61722.21,32.24519,2026-06-25T10:29:59+00:00,1989956.5975409,4565,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T10:30:31+00:00,BTCUSDT,15m,2026-06-25T10:30:00+00:00,61574.89,61593.01,61574.89,61588.03,5.39884,2026-06-25T10:44:59+00:00,332474.4654976,1323,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T10:45:48+00:00,BTCUSDT,15m,2026-06-25T10:45:00+00:00,61393.82,61400.0,61333.65,61339.36,25.13586,2026-06-25T10:59:59+00:00,1542915.7290432,4045,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T11:13:01+00:00,BTCUSDT,15m,2026-06-25T11:00:00+00:00,61269.95,61334.0,61066.0,61182.0,149.14888,2026-06-25T11:14:59+00:00,9123164.5906726,33668,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T11:15:54+00:00,BTCUSDT,15m,2026-06-25T11:15:00+00:00,61358.01,61422.52,61332.0,61406.0,22.67731,2026-06-25T11:29:59+00:00,1392206.9169077,8335,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T11:31:30+00:00,BTCUSDT,15m,2026-06-25T11:30:00+00:00,61242.01,61290.26,61242.01,61281.36,13.40548,2026-06-25T11:44:59+00:00,821326.9470818,2106,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T11:47:23+00:00,BTCUSDT,15m,2026-06-25T11:45:00+00:00,61318.0,61318.0,61281.53,61281.53,21.24904,2026-06-25T11:59:59+00:00,1302635.5067133,2492,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T12:00:58+00:00,BTCUSDT,15m,2026-06-25T12:00:00+00:00,61282.0,61372.0,61267.44,61267.45,17.00199,2026-06-25T12:14:59+00:00,1042906.8958481,8011,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T12:17:09+00:00,BTCUSDT,15m,2026-06-25T12:15:00+00:00,61221.59,61238.46,61202.0,61204.01,18.37229,2026-06-25T12:29:59+00:00,1124657.2001827,4374,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T14:57:42+00:00,BTCUSDT,15m,2026-06-25T13:45:00+00:00,60078.0,60250.0,58115.01,58290.17,4821.87175,2026-06-25T13:59:59+00:00,284249097.9638292,429421,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T14:57:42+00:00,BTCUSDT,15m,2026-06-25T14:00:00+00:00,58291.7,59750.0,58291.7,59268.19,2537.11441,2026-06-25T14:14:59+00:00,149793859.9653839,323362,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T14:57:42+00:00,BTCUSDT,15m,2026-06-25T14:15:00+00:00,59268.19,59568.22,58797.2,59329.16,1185.7154,2026-06-25T14:29:59+00:00,70231473.9142152,223978,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T14:57:42+00:00,BTCUSDT,15m,2026-06-25T14:30:00+00:00,59329.16,60485.51,59179.06,59489.48,1740.07754,2026-06-25T14:44:59+00:00,104198192.5603511,237681,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T14:57:42+00:00,BTCUSDT,15m,2026-06-25T14:45:00+00:00,59489.48,59787.99,59345.43,59524.01,435.54454,2026-06-25T14:59:59+00:00,25951314.0541191,114197,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T15:00:46+00:00,BTCUSDT,15m,2026-06-25T15:00:00+00:00,59471.49,59480.0,59367.37,59369.75,26.45552,2026-06-25T15:14:59+00:00,1572023.3398237,9367,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T15:15:21+00:00,BTCUSDT,15m,2026-06-25T15:15:00+00:00,59057.86,59057.87,58985.16,58991.4,63.89521,2026-06-25T15:29:59+00:00,3771231.85904,4595,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T15:31:12+00:00,BTCUSDT,15m,2026-06-25T15:30:00+00:00,59262.0,59322.01,59232.0,59321.99,29.50536,2026-06-25T15:44:59+00:00,1748960.2293579,11916,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T15:45:37+00:00,BTCUSDT,15m,2026-06-25T15:45:00+00:00,59198.01,59328.23,59176.0,59317.15,24.84236,2026-06-25T15:59:59+00:00,1472166.8146867,6687,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T16:00:09+00:00,BTCUSDT,15m,2026-06-25T16:00:00+00:00,59557.99,59588.0,59557.99,59582.03,5.59251,2026-06-25T16:14:59+00:00,333209.5177505,1152,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T16:15:56+00:00,BTCUSDT,15m,2026-06-25T16:15:00+00:00,59762.01,59782.0,59735.09,59737.99,30.00604,2026-06-25T16:29:59+00:00,1793219.4062687,6657,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T16:30:14+00:00,BTCUSDT,15m,2026-06-25T16:30:00+00:00,59742.99,59742.99,59606.99,59653.99,31.55373,2026-06-25T16:44:59+00:00,1882126.4753401,4537,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T16:45:55+00:00,BTCUSDT,15m,2026-06-25T16:45:00+00:00,59266.0,59296.0,59171.31,59204.37,64.65009,2026-06-25T16:59:59+00:00,3828384.790181,7695,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T17:00:22+00:00,BTCUSDT,15m,2026-06-25T17:00:00+00:00,59312.64,59359.77,59306.0,59341.22,6.31878,2026-06-25T17:14:59+00:00,374852.933809,1931,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T17:16:14+00:00,BTCUSDT,15m,2026-06-25T17:15:00+00:00,59399.77,59602.0,59399.77,59583.99,49.59164,2026-06-25T17:29:59+00:00,2952642.580853,13066,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T17:30:36+00:00,BTCUSDT,15m,2026-06-25T17:30:00+00:00,59556.0,59586.0,59550.03,59558.0,6.96735,2026-06-25T17:44:59+00:00,415092.5198265,3302,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T17:45:03+00:00,BTCUSDT,15m,2026-06-25T17:45:00+00:00,59535.81,59535.81,59526.02,59526.02,0.88267,2026-06-25T17:59:59+00:00,52546.4608565,411,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T18:00:45+00:00,BTCUSDT,15m,2026-06-25T18:00:00+00:00,59676.0,59715.03,59648.01,59701.99,10.78658,2026-06-25T18:14:59+00:00,643793.9537609,4973,https://data-api.binance.vision,OK_KLINES_BTCUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
