ts,symbol,interval,open_time_utc,open,high,low,close,volume,close_time_utc,quote_volume,trades,source,feed_status,real_live_verified,claim_level
2026-06-25T09:18:07+00:00,XRPUSDT,1m,2026-06-25T09:14:00+00:00,1.0833,1.0836,1.0833,1.0834,6120.8,2026-06-25T09:14:59+00:00,6631.77819,100,https://data-api.binance.vision,OK_KLINES_XRPUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:07+00:00,XRPUSDT,1m,2026-06-25T09:15:00+00:00,1.0834,1.0834,1.0832,1.0834,7164.6,2026-06-25T09:15:59+00:00,7761.39024,112,https://data-api.binance.vision,OK_KLINES_XRPUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:07+00:00,XRPUSDT,1m,2026-06-25T09:16:00+00:00,1.0833,1.0839,1.0833,1.0838,27415.1,2026-06-25T09:16:59+00:00,29706.02038,147,https://data-api.binance.vision,OK_KLINES_XRPUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:07+00:00,XRPUSDT,1m,2026-06-25T09:17:00+00:00,1.0838,1.0839,1.0835,1.0835,16227.0,2026-06-25T09:17:59+00:00,17586.43392,94,https://data-api.binance.vision,OK_KLINES_XRPUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:07+00:00,XRPUSDT,1m,2026-06-25T09:18:00+00:00,1.0835,1.0835,1.0835,1.0835,169.8,2026-06-25T09:18:59+00:00,183.9783,4,https://data-api.binance.vision,OK_KLINES_XRPUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:19:06+00:00,XRPUSDT,1m,2026-06-25T09:19:00+00:00,1.0833,1.0833,1.0833,1.0833,22.6,2026-06-25T09:19:59+00:00,24.48258,1,https://data-api.binance.vision,OK_KLINES_XRPUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:21:05+00:00,XRPUSDT,1m,2026-06-25T09:20:00+00:00,1.0834,1.0835,1.0832,1.0832,22563.2,2026-06-25T09:20:59+00:00,24444.17628,75,https://data-api.binance.vision,OK_KLINES_XRPUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:21:05+00:00,XRPUSDT,1m,2026-06-25T09:21:00+00:00,1.0832,1.0833,1.0832,1.0832,207.5,2026-06-25T09:21:59+00:00,224.76864,5,https://data-api.binance.vision,OK_KLINES_XRPUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:22:26+00:00,XRPUSDT,1m,2026-06-25T09:22:00+00:00,1.0818,1.0818,1.0815,1.0815,11214.6,2026-06-25T09:22:59+00:00,12130.13092,98,https://data-api.binance.vision,OK_KLINES_XRPUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:23:48+00:00,XRPUSDT,1m,2026-06-25T09:23:00+00:00,1.0812,1.0819,1.0808,1.0818,104517.7,2026-06-25T09:23:59+00:00,113013.3649,368,https://data-api.binance.vision,OK_KLINES_XRPUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:25:09+00:00,XRPUSDT,1m,2026-06-25T09:24:00+00:00,1.0817,1.0819,1.0815,1.0818,12322.0,2026-06-25T09:24:59+00:00,13329.30132,137,https://data-api.binance.vision,OK_KLINES_XRPUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
